gfx/terobjs/trees/pine|Pick cone
gfx/terobjs/trees/larch|Pick cone
gfx/terobjs/bushes/bogmyrtle|Pick cones
gfx/terobjs/trees/buckthorn|Pick drupes
gfx/terobjs/trees/spruce|Take bough
gfx/terobjs/trees/spruce|Pick cone
gfx/terobjs/trees/juniper|Pick berries
gfx/terobjs/bushes/sandthorn|Pick berries
gfx/terobjs/trees/blackpine|Pick cone
gfx/terobjs/bumlings/olivine|Chip stone
gfx/terobjs/trees/whitebeam|Pick fruits
gfx/terobjs/trees/ash|Pick samara
gfx/terobjs/trees/birch|Pick catkin
gfx/terobjs/trees/rowan|Pick berries
gfx/terobjs/trees/sallow|Pick catkin
gfx/terobjs/bushes/bsnightshade|Pick berries
gfx/terobjs/trees/osier|Pick catkins
gfx/terobjs/trees/treeheath|Pick seeds
gfx/terobjs/trees/hazel|Pick hazelnut
gfx/terobjs/bumlings/gneiss|Chip stone
gfx/terobjs/trees/willow|Pick catkin
gfx/terobjs/bushes/raspberrybush|Pick berries
gfx/terobjs/bumlings/feldspar|Chip stone
gfx/terobjs/bumlings/diorite|Chip stone
gfx/terobjs/bushes/crampbark|Pick berries
gfx/terobjs/bushes/dogrose|Pick hips
